도로명,시작위도,시작경도,중간위도,중간경도,끝위도,끝경도,거리
영화사로16길(21),37.5544264,127.0954804,37.553825,127.0953742,37.5538121,127.0954717,1389
영화사로16길(22),37.5532916,127.0965768,37.5534231,127.0963818,37.5538674,127.09686,1348
영화사로16길(23),37.5538674,127.09686,37.5540924,127.096509,37.5540924,127.096509,1334
영화사로16길(24),37.5538674,127.09686,37.5537549,127.0970355,37.5537549,127.0970355,1321
영화사로16길(25),37.5538674,127.09686,37.5534231,127.0963818,37.5532916,127.0965768,1348
영화사로16길(26),37.5535221,127.0973988,37.5537549,127.0970355,37.5537549,127.0970355,1314
영화사로16길(27),37.5533517,127.0952941,37.5536311,127.0955898,37.5536311,127.0955898,1408
자양로51길(0),37.5536239,127.0928479,37.5532625,127.0934078,37.5532625,127.0934078,1492
자양로51길(1),37.5536239,127.0928479,37.5540112,127.0923149,37.5540112,127.0923149,1496
자양로51길(2),37.5554623,127.0902917,37.5547281,127.0913282,37.5547281,127.0913282,1531
자양로51길(3),37.5547281,127.0913282,37.5540112,127.0923149,37.5540112,127.0923149,1500
자양로51길(4),37.5547281,127.0913282,37.5554623,127.0902917,37.5554623,127.0902917,1533
자양로51길(5),37.5540112,127.0923149,37.5536239,127.0928479,37.5536239,127.0928479,1490
자양로51길(6),37.5540112,127.0923149,37.5547281,127.0913282,37.5547281,127.0913282,1513
자양로51길(7),37.5532625,127.0934078,37.5536239,127.0928479,37.5536239,127.0928479,1490
