도로명,시작점 위도,시작점 경도,중간점_위도,중간점_경도,끝점_위도,끝점_경도,연속 일조량,총 일조량,경사도_점수(1-10점)
뚝섬로36가길(1),37.5314308,127.0721611,37.5311087,127.072751,37.5311087,127.072751,2,2,5
뚝섬로36가길(2),37.5314308,127.0721611,37.5315203,127.0719629,37.5315368,127.0719246,4,4,0
뚝섬로36가길(3),37.5324771,127.0707631,37.5317315,127.0717171,37.5315368,127.0719246,3,3,0
뚝섬로36가길(4),37.5315368,127.0719246,37.5321167,127.0712242,37.5324771,127.0707631,2,2,0
뚝섬로36가길(5),37.5315368,127.0719246,37.5315203,127.0719629,37.5314308,127.0721611,4,4,0
자양번영로5길(0),37.532309,127.0754276,37.532421,127.0748626,37.532421,127.0748626,1,1,0
자양번영로5길(1),37.532372,127.0738755,37.5326155,127.0736743,37.5326155,127.0736743,4,4,0
자양번영로5길(2),37.532421,127.0748626,37.5324542,127.0746951,37.5324542,127.0746951,1,0,0
자양번영로5길(3),37.532421,127.0748626,37.532309,127.0754276,37.532309,127.0754276,3,3,0
자양번영로5길(4),37.532421,127.0748626,37.5328542,127.074533,37.5326095,127.0744486,2,2,0
자양번영로5길(5),37.5324542,127.0746951,37.532421,127.0748626,37.532421,127.0748626,0,0,0
자양번영로5길(6),37.5324542,127.0746951,37.5325639,127.0744814,37.5326095,127.0744486,2,2,0
자양번영로5길(7),37.5325077,127.0726371,37.5327256,127.0729343,37.5329452,127.0734018,1,1,0
자양번영로5길(8),37.5326155,127.0736743,37.5329452,127.0734018,37.5329452,127.0734018,1,2,0
자양번영로5길(9),37.5326155,127.0736743,37.532372,127.0738755,37.532372,127.0738755,6,6,0
자양번영로5길(10),37.5326095,127.0744486,37.532642,127.0743969,37.5329452,127.0734018,2,3,0
자양번영로5길(11),37.5326095,127.0744486,37.5325639,127.0744814,37.5324542,127.0746951,2,2,0
자양번영로5길(12),37.5326095,127.0744486,37.5328542,127.074533,37.532421,127.0748626,2,2,0
자양번영로5길(13),37.5329452,127.0734018,37.5331295,127.0727548,37.5331295,127.0727548,2,2,0
자양번영로5길(14),37.5329452,127.0734018,37.5326155,127.0736743,37.5326155,127.0736743,2,2,0
자양번영로5길(15),37.5329452,127.0734018,37.532642,127.0743969,37.5326095,127.0744486,2,3,0
자양번영로5길(16),37.5329452,127.0734018,37.5326077,127.0727587,37.5325077,127.0726371,2,3,0
자양번영로5길(17),37.5331295,127.0727548,37.5329452,127.0734018,37.5329452,127.0734018,1,2,0
