,회사명,채용공고사항,링크,지역,경력,학력,월급
952,주식회사 몹티콘,[신입/경력] 스마트 교통 시스템 현장 세팅 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49951458&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 구로구,경력무관,고졸↑,정규직
953,(주)유로인스트루먼츠,"경력/신입 전문인력 (S/W솔루션 컨설턴트, 개발자, 프로그램머)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49996877&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 영등포구,신입·경력,초대졸↑,정규직·기간제
954,(주)코아아이티,ITO 기업상주(평택) 유지보수 엔지니어 채용합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49994182&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,경기 평택시,경력,고졸↑,정규직
955,(주)엘핀,하드웨어 펌웨어 엔지니어 (2년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49998379&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 강서구,경력2년↑,초대졸↑,정규직
956,(주)웰데이타시스템,"[AWS, KT, Naver 클라우드 매니지드/ 기술운영/ TA, AA] 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50002294&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 강남구,경력무관,고졸↑,정규직·계약직
957,엔쓰리엔(주),[기술본부] 인프라팀 팀장급(5년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50004160&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 강남구,경력 5~15년,대졸↑,정규직
958,(주)위드네트웍스,보안 솔루션 엔지니어 (신입),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50019364&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 강서구,신입·경력,대졸↑,정규직
959,(주)위드네트웍스,Back-end Developer(자사 솔루션 개발),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50019187&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 강서구,경력 2~5년,대졸↑,정규직
960,(주)위드네트웍스,보안 솔루션 엔지니어 채용(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50019196&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 강서구,경력 3~5년,대졸↑,정규직
961,"(주)브레이브모바일(숨고, Soomgo)",Mobile App Engineer_React Native,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50021924&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 강남구,경력 1~3년,고졸↑,정규직
